college_name,about,address,affiliated,state,college_type,established,exam,courses,accreditations,approvals,gender,student_count,faculty_count,gender_percentage,campus_size,website_link
"Justice Basheer Ahmed Sayeed College for Women, Chennai",NA,"Justice Basheer Ahmed Sayeed College for Women, 56 K B Dasan Road, Teynampet, Chennai, Tamil Nadu - 600018 India","University of Madras, Chennai",Tamil Nadu,Private,1955,NA,"12, Degrees and , ,55, Courses",NAAC,Autonomous,Female,7247,297,NA,"13, acres",https://www.careers360.com/colleges/justice-basheer-ahmed-sayeed-college-for-women-chennai
"Government College of Engineering, Erode","was established in the year 1984 with the support of the institute of Road Transport (IRT), Taramani,Chennai and the State Transport Undertakings (STUs) as per G.O.MS.No.479 of the Department of Science and Technology. The institute is also known as IRTT. IRTT is administered by the All Transport Corporations of the Government of Tamil Nadu and is approved by the All India Council for Technical Education, Ministry of Human Resource Development, Government of India, . Earlier the institute was  affiliated to Bharathiyar University, Coimbatore and later on in the year 2001 it got affiliated to Anna University,Chennai. The campus is spread over 350 acres of land. ","Government College of Engineering, Erode Vasavi College Post, Tamilnadu-638 316, India","Anna University, Chennai",Tamil Nadu,Private,1984,TANCET,"2, Degrees and, ,16, Courses",NA,Affiliated,Co-ed,1445,68,Male 74% and Female 26%,"202, acres",https://www.careers360.com/colleges/government-college-of-engineering-erode
"Jaya Engineering College, Chennai",NA,"Jaya Engineering College, CTH Road, Prakash Nagar, Thiruninravur, Chennai, Pincode 602024, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1995,TANCET,"4, Degrees and , ,16, Courses",NA,Affiliated,NA,1225,174,NA,"28, acres",https://www.careers360.com/colleges/jaya-engineering-college-chennai
"Jerusalem College of Engineering, Chennai",NA,"Jerusalem College of Engineering, Velachery Main Road, Narayanapuram, Pallikaranai, Chennai, Pincode 600100, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1995,NA,"3, Degrees and , ,17, Courses",NAAC,Autonomous,Co-ed,1401,159,Male 61% and Female 39%,"23, acres",https://www.careers360.com/colleges/jerusalem-college-of-engineering-chennai
"Kongu Engineering College, Erode","Kongu Engineering College (KEC) is an autonomous college established by the Kongu Vellalar Institute of Technology Trust in 1984. The college is affiliated to ,. KEC Erode is accredited by NAAC with an ‘A’ grade. The institute is approved by the All India Council for Technical Education (AICTE). In NIRF Engineering Rankings 2020, the college got 135th position. As per the website of the college, the mission of Kongu Engineering College is to give value based education to the engineering and management students and develop quality professionals. The college campus is spread over an area of 167 acres and there are a total of 516 faculty members at the institute. The institute has secured 164th rank in the Engineering category in NIRF 2021 Ranking with a score of 34.38 out of 100. ","Kongu Engineering College, Perundurai, Erode-638060, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,1983,TANCET,"7, Degrees and, ,48, Courses",NAAC,Autonomous,Co-ed,8071,515,Male 74% and Female 26%,"167, acres",https://www.careers360.com/colleges/kongu-engineering-college-erode
"Krishnasamy College of Engineering and Technology, Cuddalore",NA,"Krishnasamy College of Engineering and Technology, Anand Nagar, Nellikuppam Main Road, S.Kumarapuram, Cuddalore, Pincode 607109, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2001,NA,"3, Degrees and , ,8, Courses",NA,Affiliated,NA,NA,68,NA,NA,https://www.careers360.com/colleges/krishnasamy-college-of-engineering-and-technology-cuddalore
"Info Institute of Engineering, Coimbatore",NA,"Info Institute of Engineering, NH-209, Sathy Road, Kovilpalayam, Coimbatore, Pincode 641107, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2007,TANCET,"3, Degrees and , ,8, Courses",NAAC,Affiliated,Co-ed,612,103,NA,"30, acres",https://www.careers360.com/colleges/info-institute-of-engineering-coimbatore
"Indian Institute of Handloom Technology, Salem",NA,"Indian Institute Of Handloom Technology, Foulke’s Compound, Thillai Nagar, Salem–636001, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Government,1960,NA,"3, Degrees and , ,3, Courses",NA,Affiliated,Co-ed,398,7,NA,"40, acres",https://www.careers360.com/colleges/indian-institute-of-handloom-technology-salem
"Hindustan Institute of Technology and Science, Chennai"," is a private deemed university that was ,in,. The institute is recognised by the University Grant Commission , and the Government of India. The Hindustan Institute of Technology and Science is accredited with NBA and also with National Assessment and Accreditation Council (,). A total of , are offered at the university across the ,and,. Admissions to courses at this university are done either on the basis of entrance exam or merit. The university also offers multiple scholarships and facilities to its students.","Hindustan Institute of Technology and Science, 1, Rajiv Gandhi Salai (OMR), Padur, Kelambakkam, Chennai - 603103, Tamil Nadu, India",NA,Tamil Nadu,Private,2008,NA,"24, Degrees and , ,133, Courses",NAAC,UGC,Co-ed,6646,454,Male 73% and Female 27%,"150, acres",https://www.careers360.com/university/hindustan-institute-of-technology-and-science-chennai
"KPR Institute of Engineering and Technology, Coimbatore"," was established in ,. The campus of the institute spreads over an area of 11.44 acres of land. KPRIET Coimbatore is accredited by the National Assessment and Accreditation Council (NAAC). The institute is also accredited by the National Board of Accreditation (NBA). , is recognised by the University grants Commission (UGC). The institute is affiliated to ,. The courses offered by the institute are ,, M.E/M.Tech and ,. The courses are approved by the All India Council for Technical Education (AICTE). ","KPR Institute of Engineering and Technology (KPRIET), Avinashi road, Arasur, Coimbatore, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"3, Degrees and, ,23, Courses",NAAC,Affiliated,Co-ed,2783,249,Male 66% and Female 34%,"150, acres",https://www.careers360.com/colleges/kpr-institute-of-engineering-and-technology-coimbatore
"Knowledge Institute of Technology, Salem"," was established in ,. The campus of the institute spreads over an area of 10 acres of land. , is accredited by the National Assessment and Accreditation Council (NAAC) with grade A. The institute is also accredited by the National Board of Accreditation (NBA). Knowledge Institute of Technology is affiliated to ,. The courses offered by the institute are , KIOT Salem offers courses approved by the All India Council for Technical Education (AICTE).  The student-teacher ratio at the institute is 10:1.","Knowledge Institute of Technology, KIOT-Campus, NH47, Kakapalayam, Salem - 637504, Tamilnadu, India","Anna University, Chennai",Tamil Nadu,Private,2009,NA,"4, Degrees and, ,17, Courses",NAAC,Affiliated,Co-ed,2013,199,Male 70% and Female 30%,"10, acres",https://www.careers360.com/colleges/knowledge-institute-of-technology-salem
"Kalaignar Karunanidhi Institute of Technology, Coimbatore",NA,"Kalaignar Karunanidhi Institute of Technology, Kannampalayam (Post), Coimbatore, Tamil Nadu-641402, India","Anna University, Chennai",Tamil Nadu,Private,2008,TANCET,"5, Degrees and , ,21, Courses",NAAC,Autonomous,Co-ed,2154,199,Male 72% and Female 28%,"19, acres",https://www.careers360.com/colleges/kalaignar-karunanidhi-institute-of-technology-coimbatore
"Kumararani Meena Muthiah College of Arts and Science, Chennai",NA,"Kumararani Meena Muthiah College of Arts and Science, No.4, Crescent Avenue Road, Gandhi Nagar, Adyar, Chennai-600020, Tamil Nadu, India","University of Madras, Chennai",Tamil Nadu,Private,1996,NA,"7, Degrees and , ,16, Courses",NAAC,Affiliated,Co-ed,205,78,Male 70% and Female 30%,"3, acres",https://www.careers360.com/colleges/kumararani-meena-muthiah-college-of-arts-and-science-chennai
"KS Rangasamy College of Technology, Tiruchengode"," was established in ,. It is a private college affiliated to ,. KSRCT Tiruchengode is spread over an area of ,. The institute is accredited by NAAC. KSRCT Tiruchengode has been approved by All India Council for Technical Education (AICTE). It has signed , with Mahidol University, Bangkok; University of Saskatchewan; University of Witwatersrand Johannesburg, South Africa; University of Mauritius to facilitate industrial exposure for students and faculty and allow in-plant training for students. KS Rangasamy College of Technology, Tiruchengode offers B.E/ ,, M.E/, and , programmes. The total number of faculty members there in the institute is 327 and the total,. ","KS Rangasamy College of Technology, KSR Kalvi Nagar, Tiruchengode - 637215, TamilNadu, India","Anna University, Chennai",Tamil Nadu,Private,1994,TANCET,"3, Degrees and , ,23, Courses",NAAC,Autonomous,Co-ed,3122,327,Male 77% and Female 23%,"300, acres",https://www.careers360.com/colleges/ks-rangasamy-college-of-technology-tiruchengode
"Karpaga Vinayaga College of Engineering and Technology, Kancheepuram",NA,"Karpaga Vinayaga College of Engineering and Technology, GST Road, Chinna Kolambakkam, Palayanoor-Post, Chengalpattu-Dist, Madhuranthagam(T.k), Kancheepuram, Tamil Nadu, Pincode 603308, India","Anna University, Chennai",Tamil Nadu,Private,2001,TANCET,"4, Degrees and , ,17, Courses",NAAC,Affiliated,Co-ed,1197,161,Male 64% and Female 36%,"25, acres",https://www.careers360.com/colleges/karpaga-vinayaga-college-of-engineering-and-technology-kancheepuram
"Karunya Institute of Technology and Sciences, Coimbatore","Karunya Institute of Technology and Sciences (KITS), Coimbatore or Karunya University was started in the year 2004. The institute was started by Late Dr D.G.S.Dhinakaran, who aimed at starting a technical university which produced trained engineers with some professional leadership qualities. The institute was awarded an autonomous status and declared Deemed-to-be University in the year 1999. KITS, Coimbatore is accredited by NAAC. The institute is the first self-financing autonomous engineering college of the country. The university is AICTE approved. Karunya University is a Christian minority institution. Karunya University has UGC approval for the fields of Arts, Science and Agriculture. In the Engineering category of NIRF Ranking 2021, the college has secured 105th rank. The university was ranked 80 in NIRF Engineering Ranking 2020.","Karunya Institute of Technology and Sciences, Karunya Nagar, Coimbatore-641 114, Tamil Nadu, India",NA,Tamil Nadu,Private,2004,NA,"12, Degrees and, ,104, Courses",NAAC,UGC,Co-ed,7482,399,Male 67% and Female 33%,"700, acres",https://www.careers360.com/university/karunya-institute-of-technology-and-sciences-coimbatore
"Latha Mathavan Engineering College, Madurai",NA,"Latha Mathavan Engineering College, Latha Mathavan Nagar, Kidaripatti (P.O), Alagar Kovil Via Melur (TK), Madurai - 625301, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2007,NA,"2, Degrees and , ,6, Courses",NA,Affiliated,Co-ed,351,94,NA,"10, acres",https://www.careers360.com/colleges/latha-mathavan-engineering-college-madurai
"Loyola-ICAM College of Engineering and Technology, Chennai"," was established in 2010. The college is accredited by the National Board for Accreditation (NBA). LICET Chennai is also affiliated to ,. The college offers B.E/B.Tech, B.E/B.Tech Lateral Entry and , programmes. The programmes are approved by the All India Council for Technical Education (AICTE). Loyola-ICAM College of Engineering and Technology also has collaborations with many institutes like ICAM, France, St. Louis University, USA, Heilbronn University, Germany, Comillas University, Spain, Fu Jen Catholic University, Taiwan, American University of Sovereign Nations, USA, etc. The college is ISO 9001: 2008 certified.","Loyola-ICAM College of Engineering and Technology, Loyola Campus, Nungambakkam, Chennai - 600034. Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,2010,TANCET,"2, Degrees and, ,6, Courses",NA,Affiliated,Co-ed,1482,79,Male 70% and Female 30%,NA,https://www.careers360.com/colleges/loyola-icam-college-of-engineering-and-technology-chennai
"MAM College of Engineering, Tiruchirappalli",NA,"MAM College of Engineering, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli-621105, Tamil Nadu, India","Anna University, Chennai",Tamil Nadu,Private,1999,TANCET,"4, Degrees and , ,18, Courses",NA,Affiliated,NA,797,174,NA,"11, acres",https://www.careers360.com/colleges/mam-college-of-engineering-tiruchirappalli
